----------------------------------------
Begin PBS Prologue Thu Aug 17 12:49:02 EDT 2017 1502988542
Job ID:		97888995.gm-1r16-n04.guillimin.clumeq.ca
Username:	hophy
Group:		fyw-423-02
Nodes:		sw-4r04-n08
End PBS Prologue Thu Aug 17 12:49:02 EDT 2017 1502988542
----------------------------------------
Reading input from file input.out
Dim			:0.94407 
 Delr			:0.1 
 N				:48000 
 Maxbin_x			:413 
 Maxbin_y			:3167 
 Max_Maxbin			:3167 
 Drmax			:0.472035 
 Isave			:50 
 Iprint			:50 
 Iratio			:1 
 Cells.x			:20 
 Cells.y			:155 
 Region.x			:80 
 Region.y			:600 
 
Setting up initial square array configuration ....	 
 
number of particle	:48000
write out the inital configuration ...

START OF MARKOV CHAIN


ACM:	Ratio:	Drmax:
20850  0.4861  0.0724 
20900  0.5121  0.0752 
20950  0.4962  0.0706 
21000  0.5170  0.0733 
21050  0.5039  0.0761 
21100  0.4916  0.0715 
21150  0.5128  0.0742 
21200  0.5031  0.0771 
21250  0.4927  0.0724 
21300  0.5120  0.0751 
21350  0.4944  0.0706 
21400  0.4886  0.0733 
21450  0.5052  0.0761 
21500  0.4917  0.0715 
21550  0.5099  0.0742 
21600  0.5023  0.0770 
21650  0.4911  0.0724 
21700  0.5108  0.0751 
21750  0.4931  0.0706 
21800  0.4865  0.0733 
21850  0.5065  0.0761 
21900  0.4926  0.0715 
21950  0.5136  0.0742 
22000  0.5035  0.0770 
22050  0.4870  0.0723 
22100  0.5080  0.0751 
22150  0.4993  0.0706 
22200  0.5166  0.0733 
22250  0.5071  0.0761 
22300  0.4958  0.0714 
22350  0.5137  0.0742 
22400  0.5047  0.0770 
22450  0.4902  0.0723 
22500  0.5110  0.0751 
22550  0.4965  0.0705 
22600  0.5165  0.0732 
22650  0.5031  0.0760 
22700  0.4900  0.0714 
22750  0.5121  0.0742 
22800  0.5014  0.0770 
22850  0.4877  0.0723 
22900  0.5128  0.0751 
22950  0.4897  0.0705 
23000  0.4861  0.0732 
23050  0.5060  0.0760 
23100  0.4916  0.0714 
23150  0.5139  0.0741 
23200  0.5008  0.0770 
23250  0.4862  0.0723 
23300  0.5101  0.0751 
23350  0.4957  0.0705 
23400  0.5172  0.0732 
23450  0.5032  0.0760 
23500  0.4888  0.0714 
23550  0.5159  0.0741 
23600  0.4976  0.0696 
23650  0.4891  0.0723 
23700  0.5068  0.0751 
23750  0.4990  0.0705 
23800  0.4827  0.0732 
23850  0.5066  0.0760 
23900  0.4891  0.0714 
23950  0.5129  0.0741 
24000  0.5006  0.0769 
24050  0.4898  0.0723 
24100  0.5078  0.0750 
24150  0.4946  0.0705 
24200  0.4831  0.0732 
24250  0.5091  0.0760 
24300  0.4928  0.0714 
24350  0.5135  0.0741 
24400  0.5027  0.0769 
24450  0.4917  0.0723 
24500  0.5072  0.0750 
24550  0.4973  0.0705 
24600  0.5198  0.0732 
24650  0.4993  0.0687 
24700  0.4935  0.0714 
24750  0.5087  0.0741 
24800  0.5042  0.0769 
24850  0.4897  0.0722 
24900  0.5052  0.0750 
24950  0.4977  0.0705 
25000  0.4889  0.0731 
25050  0.5092  0.0759 
25100  0.4968  0.0713 
25150  0.5140  0.0741 
25200  0.5026  0.0769 
25250  0.4851  0.0722 
25300  0.5074  0.0750 
25350  0.4988  0.0704 
25400  0.4892  0.0731 
25450  0.5035  0.0759 
25500  0.4936  0.0713 
25550  0.5149  0.0740 
25600  0.5019  0.0769 
25650  0.4865  0.0722 
25700  0.5083  0.0750 
25750  0.4996  0.0704 
25800  0.5166  0.0731 
25850  0.5087  0.0759 
25900  0.4902  0.0713 
25950  0.5126  0.0740 
26000  0.4983  0.0695 
26050  0.4884  0.0722 
26100  0.5078  0.0750 
26150  0.4988  0.0704 
26200  0.5182  0.0731 
26250  0.5096  0.0759 
26300  0.4973  0.0713 
26350  0.5203  0.0740 
26400  0.5033  0.0768 
26450  0.4906  0.0722 
26500  0.5127  0.0749 
26550  0.4963  0.0704 
26600  0.4864  0.0731 
26650  0.5055  0.0759 
26700  0.4929  0.0713 
26750  0.5144  0.0740 
26800  0.5007  0.0768 
26850  0.4903  0.0722 
26900  0.5139  0.0749 
26950  0.4986  0.0704 
27000  0.4841  0.0731 
27050  0.5023  0.0759 
27100  0.4957  0.0713 
27150  0.5163  0.0740 
27200  0.5002  0.0768 
27250  0.4897  0.0722 
27300  0.5115  0.0749 
27350  0.4991  0.0704 
27400  0.4863  0.0731 
27450  0.5097  0.0758 
27500  0.4887  0.0712 
27550  0.5128  0.0740 
27600  0.4985  0.0695 
27650  0.4914  0.0721 
27700  0.5136  0.0749 
27750  0.4993  0.0704 
27800  0.5158  0.0730 
27850  0.5114  0.0758 
27900  0.4917  0.0712 
27950  0.5123  0.0740 
28000  0.5054  0.0768 
28050  0.4881  0.0721 
28100  0.5106  0.0749 
28150  0.4963  0.0703 
28200  0.4827  0.0730 
28250  0.5061  0.0758 
28300  0.4960  0.0712 
28350  0.4841  0.0739 
28400  0.5061  0.0768 
28450  0.4908  0.0721 
28500  0.5141  0.0749 
28550  0.4977  0.0703 
28600  0.4879  0.0730 
28650  0.5082  0.0758 
28700  0.4936  0.0712 
28750  0.5140  0.0739 
28800  0.5062  0.0767 
28850  0.4916  0.0721 
28900  0.5149  0.0748 
28950  0.5029  0.0777 
29000  0.4890  0.0730 
29050  0.5095  0.0758 
29100  0.4955  0.0712 
29150  0.4831  0.0739 
29200  0.5001  0.0767 
29250  0.4914  0.0721 
29300  0.5111  0.0748 
29350  0.5021  0.0777 
29400  0.4861  0.0730 
29450  0.5092  0.0758 
29500  0.4928  0.0712 
29550  0.5175  0.0739 
29600  0.5045  0.0767 
29650  0.4902  0.0721 
29700  0.5090  0.0748 
29750  0.4978  0.0703 
29800  0.4893  0.0730 
29850  0.5046  0.0758 
29900  0.4990  0.0712 
29950  0.5140  0.0739 
30000  0.5038  0.0767 
30050  0.4884  0.0720 
30100  0.5089  0.0748 
30150  0.4996  0.0703 
30200  0.5188  0.0729 
30250  0.5067  0.0757 
30300  0.4959  0.0711 
30350  0.4843  0.0739 
30400  0.5056  0.0767 
30450  0.4965  0.0720 
30500  0.5170  0.0748 
30550  0.4993  0.0702 
30600  0.4882  0.0729 
30650  0.5105  0.0757 
30700  0.4954  0.0711 
30750  0.5134  0.0738 
30800  0.4996  0.0694 
30850  0.4931  0.0720 
30900  0.5147  0.0748 
30950  0.5029  0.0776 
31000  0.4853  0.0729 
31050  0.5101  0.0757 
31100  0.4939  0.0711 
31150  0.4824  0.0738 
31200  0.5069  0.0767 
31250  0.4938  0.0720 
31300  0.5154  0.0748 
31350  0.5023  0.0776 
31400  0.4889  0.0729 
31450  0.5089  0.0757 
31500  0.4976  0.0711 
31550  0.5195  0.0738 
